sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,rsi_14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_percent,vol_sma,vol_ratio,price_vol,momentum_1,momentum_5,momentum_10,hl_spread
102.492,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-0.23999999999999488,0.7600000000000051,1.8100000000000023,0.01534576534576533
102.492,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-0.23999999999999488,0.7600000000000051,1.8100000000000023,0.013239875389408094
102.492,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,1.960000000000008,0.7600000000000051,1.8100000000000023,0.030091708062667227
102.492,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-4.610000000000014,0.7600000000000051,1.8100000000000023,0.04436894174078158
102.492,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,1.960000000000008,0.7600000000000051,1.8100000000000023,0.02273841027148885
102.644,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,1.6899999999999977,0.7600000000000051,1.8100000000000023,0.01465483995372152
102.88399999999999,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,0.20000000000000284,1.2000000000000028,1.8100000000000023,0.009237875288683542
103.4,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,3.3400000000000034,2.5799999999999983,1.8100000000000023,0.03514823792653362
104.578,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-1.3000000000000114,5.890000000000001,1.8100000000000023,0.026330690826726993
105.22,103.856,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-0.7199999999999989,3.2099999999999937,1.8100000000000023,0.023565184340554962
105.42999999999999,104.03699999999999,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-0.46999999999999886,1.0499999999999972,1.8100000000000023,0.05020521141548158
105.71,104.29699999999998,106.12949999999998,110.5346,104.05416666666666,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,0.5499999999999972,1.3999999999999915,2.5999999999999943,0.027535131029244264
105.446,104.42299999999997,106.12949999999998,110.5346,104.34429487179487,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,0.6200000000000045,-1.3200000000000074,1.259999999999991,0.030960921276194084
106.28400000000002,105.431,106.12949999999998,110.5346,105.23748027613412,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,4.210000000000008,4.190000000000012,10.080000000000013,0.03949160236041769
107.498,106.359,106.12949999999998,110.5346,106.1717140798058,107.01384615384615,68.12852800694745,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,1.1599999999999966,6.070000000000007,9.280000000000001,0.03270146437876202
108.27000000000001,106.85,106.12949999999998,110.5346,106.54991191368183,107.01384615384615,60.541390875901556,2.3145357309782923,2.529670202572905,-0.21513447159461263,112.25476072914664,100.00423927085332,0.7106440945216317,8716875.0,0.6235032623503263,3.0626303645734665,-2.680000000000007,3.8599999999999994,4.909999999999997,0.03341618337475832
