sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,rsi_14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_percent,vol_sma,vol_ratio,price_vol,momentum_1,momentum_5,momentum_10,hl_spread
167.648,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,0.8999999999999773,3.799999999999983,9.349999999999994,0.016160746979128518
167.648,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,0.8999999999999773,3.799999999999983,9.349999999999994,0.013352755523185171
167.648,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,5.1299999999999955,3.799999999999983,9.349999999999994,0.02459650361998936
167.648,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,0.4800000000000182,3.799999999999983,9.349999999999994,0.02512179374302988
167.648,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-1.009999999999991,3.799999999999983,9.349999999999994,0.011897732640529136
168.408,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-1.700000000000017,3.799999999999983,9.349999999999994,0.014076106405821387
168.712,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-1.3799999999999955,1.5200000000000102,9.349999999999994,0.01311041616550401
168.368,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,1.8899999999999864,-1.7199999999999989,9.349999999999994,0.02212047333055836
168.498,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,2.8500000000000227,0.6500000000000057,9.349999999999994,0.027072856975792276
169.176,168.412,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,1.7299999999999898,3.3899999999999864,9.349999999999994,0.011751085383502178
170.286,169.34700000000004,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,0.46000000000000796,5.550000000000011,9.349999999999994,0.015241614225506695
171.666,170.18900000000002,170.963,173.49760000000003,169.20916666666668,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-0.030000000000001137,6.900000000000006,8.420000000000016,0.010971243792585617
172.56599999999997,170.46700000000004,170.963,173.49760000000003,169.74160256410258,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-0.5100000000000193,4.5,2.780000000000001,0.014097990386286023
173.35399999999998,170.92600000000007,170.963,173.49760000000003,170.54443293885603,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,2.2900000000000205,3.9399999999999977,4.590000000000003,0.01748971193415639
174.41199999999998,171.79400000000004,170.963,173.49760000000003,171.69759710210894,171.37384615384613,80.24744027303747,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,3.079999999999984,5.289999999999992,8.679999999999978,0.03431813075713315
174.57799999999997,172.43200000000004,170.963,173.49760000000003,172.05796677870757,171.37384615384613,67.78942115768457,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-4.0,0.8299999999999841,6.3799999999999955,0.044529993105033326
174.43999999999997,173.05300000000005,170.963,173.49760000000003,172.12443342813717,171.37384615384613,63.66489357440979,1.256091016818857,1.7344951690058141,-0.4784041521869571,177.7788289297763,164.1471710702237,0.6046827916825979,5579022.65,0.5777289683525483,3.4079144648883304,-1.549999999999983,-0.6899999999999977,6.210000000000008,0.02232013450055072
