timestamp,open,high,low,close,adj_close,volume
2024-07-15,57.05,58.24,57.04,57.73,56.375,27277300
2024-07-16,58.04,60.62,57.53,60.24,58.826,25577300
2024-07-17,60.16,61.0,59.89,60.91,59.4803,17371100
2024-07-18,60.62,60.82,58.99,59.24,57.8495,17739000
2024-07-19,59.3,59.77,59.11,59.23,57.8397,12362800
2024-07-22,59.26,59.39,58.54,59.14,57.7519,13638600
2024-07-23,59.2,59.91,59.04,59.67,58.2694,10927800
2024-07-24,59.77,60.21,59.37,59.44,58.0448,10777100
2024-07-25,59.56,60.73,59.45,59.7,58.2987,14119600
2024-07-26,59.85,60.45,59.57,60.39,58.9725,12538900
2024-07-29,60.74,60.83,59.35,59.59,58.1913,8986200
2024-07-30,60.46,60.73,59.89,60.01,58.6014,11503900
2024-07-31,59.82,60.12,59.2,59.34,57.9472,11535800
2024-08-01,59.26,59.34,56.52,56.88,55.5449,17752700
2024-08-02,55.18,55.57,52.8,53.26,52.0099,27642600
2024-08-05,51.3,52.4,50.15,52.12,50.8966,28594000
2024-08-06,52.28,52.96,52.05,52.36,51.131,18723500
2024-08-07,53.15,53.49,52.15,52.29,51.0626,18407500
2024-08-08,52.97,53.32,52.65,52.76,51.5216,16176000
2024-08-09,52.3,52.83,52.07,52.76,51.9152,11669000
2024-08-12,52.91,53.47,51.68,52.06,51.2264,18090100
2024-08-13,52.36,52.96,51.81,52.87,52.0234,12268600
2024-08-14,53.03,53.78,52.72,53.66,52.8008,13217200
2024-08-15,54.5,55.17,54.43,54.57,53.6962,16549400
2024-08-16,54.78,55.43,54.61,55.33,54.4441,19173900
2024-08-19,55.35,56.46,55.26,56.45,55.5461,12792900
2024-08-20,56.03,56.72,55.92,56.15,55.2509,12533500
2024-08-21,56.44,56.45,55.2,55.46,54.572,13691700
2024-08-22,55.7,56.37,55.66,55.96,55.064,15683000
2024-08-23,56.42,57.4,56.32,56.7,55.7921,17074400
2024-08-26,57.02,57.15,56.54,56.72,55.8118,9478800
2024-08-27,56.71,56.92,56.16,56.26,55.3592,7638500
2024-08-28,56.06,57.36,56.03,57.07,56.1562,11905200
2024-08-29,57.31,57.77,56.51,57.35,56.4317,9283300
2024-08-30,57.45,58.58,57.38,58.47,57.5338,20377300
2024-09-03,58.62,58.95,57.9,58.37,57.4354,15933600
2024-09-04,58.49,59.0,57.72,58.12,57.1894,10985800
2024-09-05,58.62,58.68,56.54,56.86,55.9496,18301000
2024-09-06,56.68,56.78,53.69,54.0,53.1353,21853800
2024-09-09,54.73,55.08,54.43,54.59,53.7159,17134800
2024-09-10,56.0,56.1,53.38,53.95,53.0862,24650000
2024-09-11,53.72,53.86,52.43,53.73,52.8697,17322000
2024-09-12,53.73,54.34,50.22,51.57,50.7443,42605400
2024-09-13,51.86,53.04,51.75,52.78,51.9349,24762000
2024-09-16,52.81,53.93,52.81,53.79,52.9287,18066200
2024-09-17,53.97,55.07,53.97,54.51,53.6372,15885200
2024-09-18,54.46,55.19,54.1,54.26,53.3912,20109000
2024-09-19,55.01,56.01,54.65,55.8,54.9065,21399000
2024-09-20,55.35,56.29,54.88,56.29,55.3887,45276000
2024-09-23,56.26,56.52,54.9,55.11,54.2276,14759300
2024-09-24,55.12,55.19,53.79,54.16,53.2928,16365600
2024-09-25,54.28,54.33,53.41,53.61,52.7516,10555700
2024-09-26,54.04,57.11,53.32,56.39,55.4871,34463400
2024-09-27,56.62,56.62,55.8,55.9,55.0049,13530400
2024-09-30,55.66,56.52,55.48,56.49,55.5855,16284200
2024-10-01,56.0,56.03,55.2,55.39,54.5031,11069400
2024-10-02,55.33,55.81,54.92,55.3,54.4145,9007200
2024-10-03,55.08,55.21,54.41,54.98,54.0997,8135300
2024-10-04,55.99,57.13,55.98,56.96,56.048,14582800
2024-10-07,57.23,57.63,56.8,57.16,56.2448,11177800
2024-10-08,58.28,58.28,57.27,57.3,56.3825,12073000
2024-10-09,57.32,57.73,57.07,57.54,56.6187,12415300
2024-10-10,57.72,58.39,57.35,57.75,56.8253,12744000
2024-10-11,59.96,61.72,59.92,60.99,60.0134,37049200
2024-10-14,61.27,63.35,60.94,62.16,61.1647,30758800
2024-10-15,62.91,63.82,62.23,63.03,62.0208,24693400
2024-10-16,63.24,64.08,63.12,63.89,62.867,17412600
2024-10-17,64.49,64.72,63.5,64.38,63.3491,15073500
2024-10-18,64.41,64.78,63.83,64.36,63.3295,19234000
